id,name,x,y,region
430,1st plague sheep,578,564,Yanille
430,1st plague sheep,578,565,Yanille
430,1st plague sheep,578,566,Yanille
431,2nd plague sheep,581,564,Yanille
431,2nd plague sheep,581,565,Yanille
431,2nd plague sheep,581,566,Yanille
432,3rd plague sheep,621,529,Yanille
432,3rd plague sheep,622,529,Yanille
432,3rd plague sheep,623,529,Yanille
433,4th plague sheep,603,585,Yanille
433,4th plague sheep,603,586,Yanille
433,4th plague sheep,603,587,Yanille
174,Abbot Langley,252,467,Barbarian Village
253,Achetties,372,443,Central Map
209,Adventurer,177,669,Southern Map
207,Adventurer,178,667,Southern Map
208,Adventurer,179,667,Southern Map
210,Adventurer,180,669,Southern Map
336,Aemad,578,600,Yanille
125,Aggie,223,626,Southern Map
700,Al Shabim,172,807,Southern Map
260,Alfonse the waiter,453,686,Brimhaven
470,Almera,656,448,Central Map
450,Alrena,615,581,Eastern Map
536,Aluft Gianne,714,1388,Southern Map
554,Ana,66,3605,Underground/Dungeon
554,Ana,73,3606,Underground/Dungeon
295,Animated axe,157,105,Wilderness (deep)
295,Animated axe,159,103,Wilderness (deep)
295,Animated axe,159,105,Wilderness (deep)
295,Animated axe,160,104,Wilderness (deep)
295,Animated axe,161,105,Wilderness (deep)
295,Animated axe,161,106,Wilderness (deep)
295,Animated axe,162,105,Wilderness (deep)
295,Animated axe,328,3362,Underground/Dungeon
295,Animated axe,329,3369,Underground/Dungeon
565,Anita,739,1382,Southern Map
751,Anna Sinclair,496,389,Wilderness (low)
33,Apothecary,143,519,Varrock
728,Archaeological expert,24,571,Central Map
728,Archaeological expert,25,571,Central Map
728,Archaeological expert,26,571,Central Map
280,Arhein,440,502,Catherby
720,Assistant,61,731,Southern Map
720,Assistant,64,730,Southern Map
54,Aubury,102,523,Al Kharid/Desert
203,Baby Blue Dragon,357,3352,Underground/Dungeon
203,Baby Blue Dragon,358,3353,Underground/Dungeon
203,Baby Blue Dragon,362,3349,Underground/Dungeon
203,Baby Blue Dragon,363,3353,Underground/Dungeon
203,Baby Blue Dragon,363,3357,Underground/Dungeon
203,Baby Blue Dragon,369,3372,Underground/Dungeon
203,Baby Blue Dragon,372,3372,Underground/Dungeon
325,Baker,546,599,Central Map
232,Bandit,263,299,Wilderness (mid)
232,Bandit,268,318,Wilderness (mid)
232,Bandit,269,299,Wilderness (mid)
232,Bandit,269,323,Wilderness (mid)
232,Bandit,270,297,Wilderness (mid)
234,Bandit,270,302,Wilderness (mid)
232,Bandit,270,319,Wilderness (mid)
232,Bandit,271,318,Wilderness (mid)
232,Bandit,271,324,Wilderness (mid)
234,Bandit,272,301,Wilderness (mid)
234,Bandit,274,301,Wilderness (mid)
485,Bank assistant,198,748,Southern Map
485,Bank assistant,198,752,Southern Map
485,Bank assistant,200,751,Southern Map
95,Banker,73,1643,Southern Map
268,Banker,87,694,Al Kharid/Desert
268,Banker,90,690,Al Kharid/Desert
268,Banker,91,691,Al Kharid/Desert
268,Banker,92,699,Al Kharid/Desert
95,Banker,100,511,Al Kharid/Desert
95,Banker,102,515,Al Kharid/Desert
95,Banker,104,513,Al Kharid/Desert
95,Banker,149,500,Varrock
95,Banker,149,504,Varrock
95,Banker,150,498,Varrock
95,Banker,213,452,Edgeville
95,Banker,214,449,Edgeville
95,Banker,217,452,Edgeville
95,Banker,217,638,Southern Map
95,Banker,218,635,Southern Map
95,Banker,220,637,Southern Map
95,Banker,280,566,Port Sarim
95,Banker,280,568,Port Sarim
95,Banker,282,566,Port Sarim
95,Banker,284,573,Port Sarim
95,Banker,285,570,Port Sarim
95,Banker,330,555,Falador
95,Banker,331,551,Falador
95,Banker,331,554,Falador
95,Banker,333,551,Falador
95,Banker,334,555,Falador
95,Banker,438,494,Catherby
95,Banker,439,491,Catherby
95,Banker,441,491,Catherby
95,Banker,499,449,Central Map
95,Banker,500,451,Central Map
95,Banker,502,447,Central Map
95,Banker,502,451,Central Map
95,Banker,503,449,Central Map
95,Banker,511,2422,Southern Map
95,Banker,512,2423,Southern Map
95,Banker,515,2422,Southern Map
95,Banker,552,610,Southern Map
95,Banker,552,613,Southern Map
95,Banker,553,615,Southern Map
95,Banker,554,614,Southern Map
